k,Pop,gia,gia-cost,gia-time,eig,eig-cost,eig-time,hd,hd-cost,hd-time,maf,maf-cost,maf-time,ubg,ubg-cost,ubg-time,dssa,dssa-cost,dssa-time
100,8,83.0282,293,90.922,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.3097,265,33.391,83.0282,83.0282,83.0282
100,8,83.0282,293,86.359,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,82.964,265,32.595,83.0282,83.0282,83.0282
100,8,83.0282,293,150.811,82.4244,264,0.723,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,84.3643,266,44.704,83.0282,83.0282,83.0282
100,8,83.0282,292,162.243,83.0282,83.0282,83.0282,83.0282,83.0282,83.0282,80.3841,292,3.029,80.6951,263,55.646,83.0282,83.0282,83.0282
10,8,8.30282,20,0.296,8.30282,8.30282,8.30282,8.30282,8.30282,8.30282,8.30821,14,0.507,8.87182,14,1.423,8.30282,8.30282,8.30282
